tweet,label
"भक्तों कि अक्ल ठिकाने पर हैं, पर चमचों कि अक्ल कहाँ",1
एकदम चोदने के लायक,1
"पशुओं , जानवरो के मल मूत्र स्थान को खाना उचित तो! गोवर आदि से जलन इतना ज्यादा दोगलापन आया कहाँ से!!🤔",1
"रामचन्द्र कहें सिया से एक दिन कलयुग आएगा , जनता रहेगी भुखी प्यासी, पप्पू सबको लुटकर इटली भाग जाएगा",0
"आज देश मे मिशनरियो के काली करतूतों की धूम मची है फिर भी अभी तक एक भी पादरी जेल में नही। जब कि निर्दोष संत Asaram Bapu Ji जो बिलकुल निर्दोष है और निर्दोष होने के पुख्ता सबूत, फिर भी उन्हे क्यो नजरअंदाज किया जा रहा",1
भक्त होना ज्यादा अच्छा है चाटुकार होने से।😂😂😂,0
अरे झोपडी वाला। तोरा से का होई ।।।ओहि देशद्रोही नारा।।धिक्कार है तोरा पे।।,1
बिल्कुल अंकित जी बिरयानी के साथ साथ पीडीपी के साथ सरकार बनाने वाली दोगली नीति सरकार की हम विरुद्ध है उसे देशद्रोही मानते हैं इसमें कहीं कोई दोराय नहीं है,1
एक वदेशी मम्मी थी एक पप्पू एक पिंकी थी एक टूटी हुई थाली थी हजारो चमचो की गिनती थी गोटालो का फंदा था देश उसमे बनदा था लूट लूट के खाते थे फिर वी बहुत घुराते थे थाली गई टूट अम्मी गई रुठ नई थाली लेनी है बोल बोल के झूठ 😎😋,1
इस देश का वोटर बहुत भुलक्कड है इसलिए या दो कौड़ी के लोग अपने कहे से पलट जाते है। जिसको गाली देकर राजनीति में आये उसी के मूत्रपान के लिए तैयार बैठे है।,1
तू सिंधिया कायर है और मैं कायरों पर तलवार नही उठाती ~ झांसी की रानी Epic scene Solid Movie Manikarnika👍,1
औकात पता चल गया जयचंद को,1
पहले अच्छे तरह अपना पिछ्वाड़ा तो साफ करना शिख लो टोटी चोर फिर मोदी जी को हटाने का सपना देख,1
चोर इटालियन लेडी और उसका कुत्ता पिद्दी भी है,1
तुम अंडभक्त कभी गोबर और मूत्र से आगे नही बढ़ सकते क्योंकि तुम्हारे दिमांग में तो बस गोबर और मूत्र ही भरा है तो तुमसे इससे अच्छी भाषा की क्या उम्मीद की जाय,1
सारी नसीहत बीजेपी को दे दो कोंग्रेस को कुछ ना कहना चटूकार पत्रकार।,1
बेलगाम मोदी की तरह इच्छा है,0
कलाम साहब को लाओ तभी मु सलमान मसझेगा ओवैसी तो कुता है,1
हम मोदी को हारायेंगे ओर देश का विकास करेंगे - चमचे विपक्षी साला 70 साल क्या दारू का ठेका चला रहे थे क्या 🤣🤣🤣🤣,1
"पाश्ता ,समोसा, वाला पत्रकार 😂😂😂😂",1
जब झूठ और सही का अन्तर समझने वालो का देश मे अकाल सा पढ़ गया हो और जनता बुद्धि की भुखमरी की शिकार हो गयी हो उपर से खबरो रूपी जलश्रोत का कुंआ झूठा गोदी मिडीया हो तो ऐसे हालात बनने तय है,1
"Sant Shri Asaram Bapu Ji के साथ उस कुटिया में जाते लड़की को किसी ने नहीं देखा, तो फिर न्यायालय ने क्यो की?? in Dis Fake Case",0
Safed Musli ke Fayde !! सफेद मूसली मर्दों की शुक्राणु को बढ़ता है via,0
और गठरियों और सबूतों के साथ शीला दीक्षित को जेल की सलाखों में पहुँचाते हुये युगपुरुष रायतावाले,0
बिलकुल हटना चाहिए अमित शाह को क्योंकि यह व्यक्ति ही वैमनस्यता और उन्माद का आविष्कारक है जुमलेबाजो का सरगना है गलत नोटबंदी और गलत GST का प्रभारी है सिर्फ अपना पैसा को काला से सफेद करने के लिए मोदीजी का आभारी हैं जय शाह का व्यापार 16 गुणा कर दिये बेरोजगारों को झूनझूना थमा दिये,0
अबे बीजीपी के पिच्छले सालसे सिर्फ कहता जा रहा है की गांधी परिवार चोर है भष्ट्राचारी है । फिर मोदी को हम नें क्या दुनिया पर्यटन करने को चुनके दिया है क्या ? करो ना उन्हे टिव्ही पर चिल्लाने की बजाय उन्हे जेल भेज फिर टिव्हीपर आजा,1
भारत में एक ही तो चोर है,0
"कांग्रेस के एजेंट जो भेष बदल कर नोटा , आरक्षण विरोधी ,और अनेक नामधारी सेना वाले हैं वो खिसियानी बिल्ली खम्बा नोचने वाला विरोध करेंगे।",0
उल्टा चोर कोतवाल को रिलायंस जिओ 27-12-2015 को लॉन्च हुआ भाजपा की जित 2014 मैं हुई तो फिर EVM हैक कैसे हुआ ? और दोनों इसका जवाब दे . जनता सच जानती है. जुठ फैलाना बंद करो,1
बकलोल के बकलोल ही रहोगे हमेशा।।।,1
"सर इसीलिये जी और उनकी कांग्रेस को वोट नही करेंगे हम लोग , क्यो की ये लोग सत्ता के लालच में देश को झूठ पर झूठ बताये जा रहे है , सत्ता का इन्हें शराब जैसा नशा है जिस नशेड़ी को वो न मिले तो बौखला जाता है । इसी तरह कांग्रेसी बौखला गए है ,",1
"Sant Shri Asaram Bapu Ji पर POCSO Act लगाने की बदनीयत से, लड़की को बताया नाबालिग| लेकिन के चलते १३ डॉक्यूमेंटस् मे बालिग साबित होने पर भी, निर्दोष संत को मिली",0
अगर आप मिले भी नही फ़िर राशन कार्ड कैसे बना बदनामी और ज़लालत में फर्क ना कर पाने वालो जाते जाते पप्पू मूत्र का स्वाद भी चख लिया जाए I 🤓🤓,1
नवाज़ नहीं होने दी तो सारे कुत्ते एक साथ भोंकने लगे वंदेमातरम बंद कराया तो एक भी कुत्ता नहीं भोंका तुमने अपने ईमान को बेचा है चमचो,1
"आपने बोला तो मेको सच मे लगा🙈 आप सब बहोत बदमाश हो, यू ऑर सो नॉटी😍",1
चौकीदार चोर तो था भी अब निकम्मा भी है,1
मोदी और भाजपा दोनों भ्रष्टाचारी है :तेजस्वीयादव और इसका बाप तो स्वतंत्रता संग्राम में अंग्रेजो के खिलाफ युद्ध की वजह से जेल में है ।,1
कांग्रेसी और आपियो के लिए राफेल का समझ जाओ अब तो! 😁,0
डिप्लोमची सड़कछाप पत्रकार,1
बलात्कारी बिशप का विरोध करने वाली 4 नन को कॉन्वेंट से निकाल दिया गया । कोई हिंदू संत होते तो मीडिया छाती पीटने लगती,1
"एक मिसिंग है, काश जुमले बाज़ के मुंह को भी लकवा मार जाये तो देश की जनता को लम्बी लम्बी सुनना ना",1
"जो आलू से सोना बनाने की बाते करता है!! जो नेंशनल हेराल्ड पर बेल पर है!! जो बोफोर्स, आगस्ता लड़ाकू विमान घोटाले पर मुह छिपाता हो!! जो मिशेल मामा, वाड्रा जीजा के कारनामो पर मुह छिपाकर भागता हो!! वह कौन शक्ल से श्रीमान जी के पास जायेगा!!",0
आपकी नई टीम नई बोतल में पुरानी शराब । कितनी वंशवाद फैलाओगे ?? कभी नीचे वालो को भी मौका दो । 65 साल से लूट रहे हो चोरो,1
बिल्कुल सत्य ऐसे गद्दारों ने ही देश को बर्बाद कर दिया,1
गांधी क्यो ? वाड्रा क्यों नही ?,0
"कोंग्रेसियों की माने तो फरोज खान को गाँधीजी ने गोद लिया और फरोज खान हिन्दू बनगया मैंने जितना पढ़ा और समझा की गाँधीजी बनिया थे तो राहुल गाँधी ब्राह्मण कैसे हो गये मेरा मकसद जातिवाद नहीं पर झूठ का पर्दाफाश होना चाहिए राहुल गाँधी कौन है हिन्दू,मुस्लिम,ब्राह्मण,बनिया? सफ़ेद झूठ",0
"नाव में कोई कमी नही, नाव में बैठे कुछ बहरूपिये है जिसमे कुछ कांग्रेस के कुछ बीजेपी के है जो लालच लोभ में आ कर नाव से सिर्फ कूद नही रहे, बल्कि खुदकुशी कर रहे है, पहले भी इस नाव से कूदने वाले सभी लोगो का इतिहास उठा कर देख लो ..",1
दलाली का पैसा बांटने में दिक्कत न हो इसलिये कांग्रेस राज में भारत के सभी रक्षा सौदे दुबई के बुर्ज खलीफा मैं होते थे (मिशेल),1
आप ही सवर्णो के सबसे बड़े दुश्मन हो सर।,1
नकली किधर है फिर🙊,0
फिर भी कांग्रेसी को समझ नहीं आएगा।,1
"सब से ज्यादा इसी की फट रही है मोदी जी से न जाने क्यों कुछ तो गड़बड़ दया पता करो ,🤣🤣🤣",1
"सर्वे तो 2014 में भी मोदीजी को प्रधानमंत्री बनाने के पक्ष में नही थे पत्रकार महोदय, लेकिन जनता ने उन्हें बनाया और इस बार भी सभी दोगलों का मुंह काला करके जनता उन्हें फिर प्रधानमंत्री बनाएगी !",0
लेकिन सारा मिडिया हमलावर का नाम क्यो छुपा रहा है! पेट्रो डाँलर ने मिडिया का मुह किस तरह बंद करके रखा है! ये बात देशा की जनता को समजनी चाहिये!,0
लो जी शुरू हो कस्टम ने पाकिस्तान से आया 125करोड़ का ड्रग राजस्थान से बरामद किया। उड़ता गहलोत! झूमता राजस्थान!! ⛳😜😜⛳,0
हिन्दूओ और हिंदुत्व के दुश्मन सेक्युलर हिन्दू है,1
पहले कांग्रेसी टोटी मूत्र पीते थे अब झरने का मूत्र भी पियेगे,1
"अब क्या जवाब देंगे ये, लेकिन ये अच्छा नहीं किया। विजेपी की तरह कोंग्रेस भी दोगली हैं। लोग यही कहेंगे और विस्वास भी नहीं रहेगा। समय रहते संभले और न्याय करे। हमने भी आपका ही साथ दिया, उसी कारण कोंग्रेस आयी हैं।",1
"RSS और इसके सपोले ( ABVP) हीं हैं असल देश तोड़क और टूकड़े- टूकड़े गेंग। अंगरेजों की दलील महात्मा गांधी की हत्या बाबरी को ढाहना गुजरात का दंगा अफ्जरूल, मिंहाज, जुनैद, आशिफा जैसे सैकड़ों इनसानों की हत्या में शिद्ध था और आज भी शिद्ध",0
इस छोटी सी क्लिप ने अरविंद का सारा सच देश की जनता को दिखा दिया की कुर्सी का भूखा कौन है,1
घूंगरू सेठ में हिम्मत है तो दोबारा काशी से चुनाव लड़ कर तो दिखाएं 😅,1
"कुर्सी प्रधान मंत्री ——घोड़ा नाल ठुकवा रहा था , रेस लगाना थी,ये देख मेंडकी ने भी अपना पैर आगे कर दिया और कहने लगी मेरे भी नाल ठोक देना !",0
"रिहा जमानत पर जो राहुल,हरिश्चन्द्र का पौत्र हुआ, दादा शुद्ध पारसी जिनका बामन उनका गोत्र हुआ, छद्म विरासत वाले,सच्चाई कमज़ोर बताते हो, लूट पचाकर पले हुए मोदी को चोर बताते हो, न्यायालय उच्चतम तुम्हारे सारे भांडे फोड़ गया, और तुम्हारी ठगी कथाओं में इक पन्ना जोड़ गया,",1
"एक हैं 👇 भयभीत हैं🙄 👉भारतवासियों की छवि को बिगाड़ते इनके बयान व इस्लामी आतंकियों को दबाते ऐसे लोगों की आखिर मंशा क्या है? 👉 किससे है झूठा डर? 👉वीडियो का अंतिम अंश thread मेंं है, कृपया अवश्य देखें🇮🇳",1
ना जाने ऐसी क्या खास है में जिसको पी कर कांग्रेसी इतने बेशर्म हो जाते हैं 🤔 राष्ट्रगीत पर बैन लगा कर आखिर यह किस मुंह से यह ऐसे सवाल कर रहे हैं ??,1
"CBI खराब है क्योंकि वो कांग्रेसियों का भ्रष्टाचार उजागर करती है। EC खराब है क्योंकि EVM की वजह से भाजपा जीत रही थी,अब EVM अच्छी है। ED खराब है क्योंकि राष्ट्रीय दामाद वाड्रा और चिददम्बरम के दफ्तरों पर छापे मारती है। SC खराब है क्योंकि राफेल मामले पर सरकार के हक में फैसला देती है।",1
मेरे दो सवाल 70सालों से गंदगी जमी है ?(जैसे कि भ्रष्टाचार-घोटाले-दलाली-धोखा-बेईमानी)कैसे दूर हो सकती है? क्या बुद्धिमान महान व्यक्ति बता सकते हैं ? उत्तर दें सवाल न:-2 पूरी दुनिया में सिर्फ भारत देश एक ऐसा देश है जिसमें सभी धर्म एक साथ मिलकर रहते हैं क्या कोई और भी देश है ?,1
"राहुल गांधी ने कहा गांधी जी ने ""अहिंसा"" से सीखा। और ""अहिंसा परमो धर्म"" आतंकियों ने लिखा, नरेंद्र मोदी जी ने हिंदी बोलना सोनिया गांधी से सीखा और ""ब्रम्हचारियों ने ब्रम्हचर्य का पालन करना जी से सीखा"", , , है न शहज़ादे? 😝😝😝",1
जिस प्रियंका वाड्रा को चमचे दुर्गा मां का अवतार बता रहे हैं न उसके बच्चों का नाम रेहान और मारिया है सोचा सबको बता ही दे😋😛,0
री असेसमेंट :2011-12 के साल में राहुल सोनिया पर आयकर की देयता 100 करोड़ निकली ही टेक्स चोर है इसलिए चौकीदार को चोर बताते है,1
मेरी फितरत में नहीं अपना गम बयां अगर तेरे वजूद का हिस्सा हूँ तो महसूस कर तकलीफ से ज्यादा बस तुमही को चाहा है पल भर भी हम जुदा हो एेसी सजा ना देना। आप का अपना भाई। भावी विधायक चो: मामन खान इंजिनियर जिंदाबाद।,0
दरबारी वकील भी।,0
कांग्रेस वंशवादी है भाजपा राष्ट्रवादी है।,0
"करो, चाटुकारिता की भी हद होती है जनता सब जानती है",1
"एक दम सत्य कहा जी इनका तो बस यही नारा “अपना काम बनता भाड़ में जाए जनता “ मुँह में राम, बग़ल में राफ़ेल की दलाली, नौटंकीबाज़ है ।",1
"शर्मनाक,बेहद शर्मनाक के कार्यक्रम में के ने के प्रतिभाशाली प्रवक्ता जी को “बेटा” शब्द से संबोधित किया। किसी भी के के में ऐसी लंपट/रोडछाप शब्द पहली बार सुना🤯🥶👎",1
"साहेब जी कर्म जो किये है वो भुगतना ही पड़ेगा,,,, हार्पिक पटेल,,,, एक देश का सबसे बड़ा गद्दार 👈👈👈👈",1
प्रधानमंत्री का प्रेस काॅन्र्फेस नही! जनता को गुमराह करने का लौलीपोप था! चौकीदार ही चोर है!,1
यही लौंडे देश को मेडल दिलाते बाकी जॉनसन बेबी कालांतर में बिगबॉस में पार्टिसिपेट करते हैं 😄💖,0
सिरीयल् कोनसे मुस्लिम् बना रहे हे वो भी तो चुतिये हिन्दू ही है जो बिना स्टोरी जाने लगे हुए हे अपनी एक्टिंग दिखाने में,1
फेकू भक्तों का 2019 में सफाया हो जाएगा और चौकीदार ही चोर है,1
रोहित सर काँग्रेस वाले लोग पागल हो गये हा. अगस्ता हेरलँड केस मे उनको मालुम है सोनिया गांधी ओर राहुल गांधी गये तो काँग्रेस पार्टी के 5 seat भी नही आयेंगे,1
एक मच्छर की जान 50 संघियो से ज्यादा कीमती होती है - नाना पाटेकर (विश्व रत्न),0
"अब सारी हद खत्म रंजन गोगोई की मां का भो मंदिर तो 31 जनवरी को ही बनेगा मादरजात तारीख देकर अपनी मां बहन का हलाला करने जाता है क्या,,??",1
लालू को हमेशा बिहार के सिर्फ जनता से ही नहीं पशु से भी आँख मिलाने मे शर्म आयेगी क्योकि उसने पशु का चारा चोरी कर लिया,1
"संजय जी, Bjp और संघ से इतर भी भद्र जन हैं राष्ट्र के प्रति समर्पित, प्रणव दा उनमे से ही है, कांग्रेसी काजल कोठरी में रहकर बेदाग, सुदीर्घ संसदीय जीवन, सबसे बड़ी योग्यता यह, की राजीव कुनबे के कभी भी किचन कैबिनेट के मेंबर नही रहे, फिर भी अपैक्स पोस्ट पाते रहे, सटीक चयन हैं दादा",1
एक और भ्रस्टाचारी अपने आप को बचाने के लिए राजनीतिक हथकंडे अपनाने जा रही है।,1
महा गांठबंधन ठगों की टोली है जो चोरी और देश को कमजोर करने की तैयारी में है।,0
पूरा कुम्भ घूम घूम कर ndtv वाले उसमे कमियाँ ढूंढ रहे हैं उन्हें एक शौचालय मिल ही गया जिसमें पानी की कमी है हो 😁😁,1
टूटे डिवाइडर बने खतरा - दैनिक जयंत,0
काग्रेस के गुलाम सत्ता हासिल करने के लिये झुठ पर झुठ बोले जा रहे हैं फेक न्यूज फैला रहे हैं ऑडियो में ये X कोन हैं दूसरा उस में रफेल की कीमत का कोई जिक्र नहीं है ऑडियो की जांच करानी चाहिए फिर झुठ बोलने वालों पर केस दर्ज करना चाहिए।,1
राष्ट्रवादी पत्रकारिता है लेकिन कभी-कभी जैसे कठुआ मामले में गद्दारों के सुर में सुर ही मिलने लगते हैं और बिना जांचे पड़खे ही हिंदुओं को भी गाली देने लगते हैं और दोषी ठहराने लगते हैं,1
"कांग्रेस केवल उन्ही नतीजों और फैसलों को सही मानती है जो कांग्रेस पार्टी और नेताओं के पक्ष मे आते है। देश में कुछ भी कांग्रेस के खिलाफ होता है तो देश मे अराजकता, असहिष्णुता बढ जाती और संविधान खतरे में आ जाता है।",0
ओबेस्सी असल मुसलमान नहीं क्यों कि उसे मालूम नहीं कि जो मुसलमान थे वह तो पाकिस्तान चले गए थे जो यहाँ है वो भारतीय हैं और अब वह अपना भला बुरा समझते हैं । जिन्होंने उनको ७० साल अँधेरे में रखा उनको धूल चटाएंगे ।,1
आपलोग जो बोलना ह बोले लेकिन मोदी जी को हराना शेर के मुह से निवाला छिनना औए प्रियंका जी के आने से सपा बसपा को खतरा क्यों नही बोल रहे ह सबसे बड़ा खतरा उन्ही लोग का ह,0
"दिमाग का दही कर दिया, सारा खून जला दिया, सारा राईता फैला दिया इंडिया को एक अनपढ देश की तरह पेश कर दिया।!!!! 😇😇😈😈",1
Sant Shri Asaram Bapu Ji के जेल जाते ही अब हिन्दू धर्म के मुख्य आयोजनों में भी ईसाई मिशनरियां धर्म परिवर्तन करा रहे,0
यहां कवि कहना चाहता है कि आज भी मोदी जी राहुल के बाप है।,1
"घोड़े की लात का, मुम्बई की बरसात का, कश्मीर के हालात का, राहुल गांधी की बात का और चमचों की जात का कोई भरोसा श्री राम🙏",1
प्रियंका गांधी तोप हैं - कांग्रेस तो अब तक गुलेल से क्यूं खेल रहे थे ( राहुल गांधी )😂,0
अरे bc मीडिया इस सूवर की बात को इतना imp मत,1
"2019 यूपी/बिहार से जातीयता के बुतों वाली ताकतों को घर बैठाना हैं तैयार रहियेगा,नो सपा नो बसपा नो RJD नो नोटा ओनली सोता फॉर",0
"नां दबे नोटा इसीलिये लाये 10% कोटा, अबके जनता थमा देगी मोदीया को शौचालय का लोटा। 😜🤭😂",0
त्रिपाठी ख़ानदान की बहु है तिरपाठी का ही बि****J जाएगा 😝😝,1
ऐसे लोग सत्ता से पोषित होते है जिनको ठेका दिया गया है मत भृष्ट होने के कारण देश मे नफरत का विष फैलाने का,1
"पटेल, गुर्जर, जाट,मराठा,आन्दोलन कर आरक्षण मांगते थे ,आज तक नहीं मिला लेकिन सवर्णो को बिना मांगे मिल गया मतलब बीजेपी सवर्णों की पार्टी है, अब क्लियर हुआ।",0
"सुप्रीम कोर्ट ना तो राम मंदिर बनाने दे रहा है,ना रोहिंग्या को भगाने दे रहा है, और ना कश्मीर हिंन्दुओ की सुनवाई कर रहा है।",1
किसको कह रहे हो शुभम जी धैर्य रखने के लिए कुछ हिन्दू सालो के पूर्वज मुगल है उनका तो पता ही नही चलता की हिन्दू है कि साले,1
"चोरों से देश को जरुर बचाना है, मगर जिनहो ने 60-70 सालों मे देश को लुटा है।बिना काम धंधे से हजारों करोड़ के मालिक बने हैं।जैसे गांधी परिवार,जिजाजी परिवार, लालु यादव,मुलायम यादव ओर मायावती परिवार।",1
और जिन्की है ही नही वो?,0
सही है चाची 420,0
गुस्से की लहर में जाने से पहले पुलिस बुलेट प्रूफ और Ak47 ले कर सारे गेरुवा तिलचट्टे देखते ही हवा हो जाएंगे 😂😂,1
एक बात समझ नहीं आती की हर बात में ज्ञान बांटने वाले किसी भी कांग्रेसी को आंतकवादियो के मरने पर पोस्ट लिखते नहीं देखा है ऐसा क्यों?,1
"जब से गए हैं मामा शिवराज, मध्यप्रदेश में गुंडाराज का हुआ",0
